agency_cd	site_no	datetime	99708_00060_00003	99708_00060_00003_cd
USGS	08279500	1889-01-01	398	A
USGS	08279500	1889-01-02	385	A
USGS	08279500	1889-01-03	395	A
USGS	08279500	1889-01-04	400	A
USGS	08279500	1889-01-05	413	A
USGS	08279500	1889-01-06	408	A
USGS	08279500	1889-01-07	410	A
USGS	08279500	1889-01-08	405	A
USGS	08279500	1889-01-09	379	A
USGS	08279500	1889-01-10	418	A
USGS	08279500	1889-01-11	398	A
USGS	08279500	1889-01-12	432	A
USGS	08279500	1889-01-13	435	A
USGS	08279500	1889-01-14	470	A
USGS	08279500	1889-01-15	470	A
USGS	08279500	1889-01-16	454	A
USGS	08279500	1889-01-17	435	A
USGS	08279500	1889-01-18	408	A
USGS	08279500	1889-01-19	426	A
USGS	08279500	1889-01-20	423	A
USGS	08279500	1889-01-21	447	A
USGS	08279500	1889-01-22	486	A
USGS	08279500	1889-01-23	441	A
USGS	08279500	1889-01-24	462	A
USGS	08279500	1889-01-25	441	A
USGS	08279500	1889-01-26	441	A
USGS	08279500	1889-01-27	450	A
USGS	08279500	1889-01-28	444	A
USGS	08279500	1889-01-29	470	A
USGS	08279500	1889-01-30	470	A
USGS	08279500	1889-01-31	495	A
USGS	08279500	1889-02-01	447	A
USGS	08279500	1889-02-02	420	A
USGS	08279500	1889-02-03	466	A
USGS	08279500	1889-02-04	504	A
USGS	08279500	1889-02-05	454	A
USGS	08279500	1889-02-06	450	A
USGS	08279500	1889-02-07	447	A
USGS	08279500	1889-02-08	438	A
USGS	08279500	1889-02-09	466	A
USGS	08279500	1889-02-10	435	A
USGS	08279500	1889-02-11	447	A
USGS	08279500	1889-02-12	462	A
USGS	08279500	1889-02-13	441	A
USGS	08279500	1889-02-14	478	A
USGS	08279500	1889-02-15	486	A
USGS	08279500	1889-02-16	470	A
USGS	08279500	1889-02-17	478	A
USGS	08279500	1889-02-18	450	A
USGS	08279500	1889-02-19	435	A
USGS	08279500	1889-02-20	474	A
USGS	08279500	1889-02-21	454	A
USGS	08279500	1889-02-22	462	A
USGS	08279500	1889-02-23	504	A
USGS	08279500	1889-02-24	490	A
USGS	08279500	1889-02-25	576	A
USGS	08279500	1889-02-26	556	A
USGS	08279500	1889-02-27	526	A
USGS	08279500	1889-02-28	517	A
USGS	08279500	1889-03-01	537	A
USGS	08279500	1889-03-02	562	A
USGS	08279500	1889-03-03	562	A
USGS	08279500	1889-03-04	567	A
USGS	08279500	1889-03-05	600	A
USGS	08279500	1889-03-06	604	A
USGS	08279500	1889-03-07	653	A
USGS	08279500	1889-03-08	676	A
USGS	08279500	1889-03-09	725	A
USGS	08279500	1889-03-10	777	A
USGS	08279500	1889-03-11	842	A
